																					Class	L	R	B	B	B
3179	1.324	749.32483	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.56	20180104_RG_01R	749.32483:71214 750.32818:57533 751.33154:0		0	71214	0	0	0
3180	0.726	749.32507	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.74	20180104_RG_01R	749.32507:27835 750.32842:9702 751.33178:4642		0	27835	0	0	0
3181	0.839	749.32605	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	11.95	20180104_RG_01R	749.32605:60202 750.3294:36685 751.33276:14002		0	60202	0	0	0
3182	4.073	749.3382	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	31.43	20180104_RG_01L	749.3382:47427 750.34155:27529 751.34491:0		47427	0	0	0	0
3183	5.778	749.37561	Unknown	[M-H]-	adduct linked to 3663_[M+FA-H]-	0.4	False	null	null	null	null		null	null	null	null	null	285.12	Blank_01_180104205754	749.37561:17994 750.37896:0 751.38232:0		3625	11206	17994	10518	4777
3184	6.176	749.40057	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	123.66	Blank_01_180104205754	749.40057:17970 750.40392:0 751.40728:0		12934	7188	17970	4460	15332
3185	3.974	749.4162	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.37	20180104_RG_01L	749.4162:10609 750.41955:0 751.42291:0		10609	330	0	0	0
3186	6.443	749.59033	Unknown	[M-H2O-H]-	adduct linked to 3835_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	10.34	20180104_RG_01L	749.59033:76480 750.59368:69183 751.59704:69722		76480	15728	10480	1703	1244
3187	6.238	749.591	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.53	20180104_RG_01L	749.591:38739 750.59435:32464 751.59771:43138		38739	26116	10906	1200	1499
3188	3.262	750.23492	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.94	20180104_RG_01R	750.23492:24007 751.23827:6047 752.24163:6981		0	24007	0	0	0
3189	2.274	750.31055	Unknown	[M-H]-	similar chromatogram in higher mz_4695	0.2	False	null	null	null	null		null	null	null	null	null	1.94	20180104_RG_01R	750.31055:14126 751.3139:5973 752.31726:0		0	14126	0	0	0
3190	1.113	750.32898	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.32	20180104_RG_01R	750.32898:24228 751.33233:20526 752.33569:3754		0	24228	0	0	0
3191	6.678	750.45813	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	22.38	20180104_RG_01R	750.45813:100540 751.46148:54604 752.46484:32635		6604	100540	0	0	0
3192	6.308	750.56329	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	11.84	Blank_01_180104225037	750.56329:20500 751.56664:0 752.57:0		0	0	0	20500	19183
3193	5.276	750.79614	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.82	Blank_01_180105013944	750.79614:51371 751.79949:8011 752.80285:6019		2978	4750	19802	19587	51371
3194	5.576	750.79767	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.49	Blank_01_180105013944	750.79767:44171 751.80102:7025 752.80438:2962		0	3072	21507	23935	44171
3195	0.998	751.01208	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	4.92	20180104_RG_01R	751.01208:39978 752.01543:0 753.01879:0		32391	39978	0	0	0
3196	6.761	751.01953	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	2.67	20180104_RG_01L	751.01953:49350 752.02288:2014 753.02624:20952		49350	33171	32538	30030	34452
3197	6.357	751.02209	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	4.89	Blank_01_180104225037	751.02209:108826 752.02544:20879 753.0288:4662		86914	76715	108150	108826	79931
3198	0.572	751.02863	Unknown	[M+FA-H]-	adduct linked to 2461_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	0.87	20180104_RG_01R	751.02863:10838 752.03198:0 753.03534:8539		0	10838	0	0	0
3199	1.913	751.07092	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.76	20180104_RG_01L	751.07092:29582 752.07427:10374 753.07763:0		29582	0	3432	0	0
3200	3.484	751.11127	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.3	20180104_RG_01R	751.11127:14366 752.11462:0 753.11798:0		0	14366	0	0	0
3201	3.363	751.13916	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.48	Blank_01_180105013944	751.13916:18214 752.14251:7166 753.14587:10474		0	414	0	0	18214
3202	0.598	751.14825	Unknown	[M+FA-H]-	adduct linked to 2668_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	37.82	20180104_RG_01L	751.14825:131591 752.1516:76273 753.15496:43827		131591	12090	566	0	841
3203	2.843	751.15021	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	5.68	Blank_01_180105013944	751.15021:15187 752.15356:0 753.15692:30598		0	12013	1066	11255	15187
3204	1.146	751.16217	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.3	20180104_RG_01R	751.16217:10005 752.16552:5653 753.16888:0		0	10005	0	941	584
3205	0.697	751.21692	Unknown	[M+FA-H]-	adduct linked to 2467_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	6.32	20180104_RG_01R	751.21692:27497 752.22027:26524 753.22363:0		0	27497	802	163	207
3206	2.345	751.21704	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.01	20180104_RG_01R	751.21704:13095 752.22039:0 753.22375:0		0	13095	0	552	927
3207	1.798	751.2627	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	1681.52	20180104_RG_01R	751.2627:12561913 752.26605:18070746 753.26941:18846476	92.00222:3335 119.04923:3799 138.03143:4258 139.03838:8292 147.04544:17152 151.04016:2721 153.05516:8397 161.02512:2828 162.05638:14491 163.04095:19071 164.04703:300486 175.04024:28455 177.05574:9573 178.06433:66173 179.07074:11824 189.05664:18167 192.43878:2466 206.04527:2602 207.05338:3492 218.04533:2927 220.05972:7357 221.06961:7889 222.07803:27824 234.07623:3932 235.08505:3132 300.12665:11373 310.11017:4098 312.12473:2549 326.10587:54933 327.11319:79615 337.0946:3127 338.10651:23145 340.12323:19671 341.12869:579224 342.13477:142449 343.1394:3153 352.12134:21438 353.12799:20765 356.14822:376940 357.15128:10028 366.13348:3862 381.11932:3526 384.10791:18593 398.12439:25815 399.13657:14508 400.13907:11790 413.15085:9710 414.1564:9282 489.1387:23234 504.17093:135470 505.18384:8497 518.18201:10702 519.21326:735547 520.21161:40654 534.21991:262563 535.21527:14929 697.27722:199072 698.27582:12897 715.29535:135130 716.29779:9359	0	12561913	0	0	0
3208	2.209	751.28845	Unknown	[M-H]-	adduct linked to 3681_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.16	20180104_RG_01R	751.28845:31105 752.2918:0 753.29516:0		0	31105	0	0	0
3209	0.801	751.34326	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.31	20180104_RG_01R	751.34326:23141 752.34661:15031 753.34997:0		0	23141	0	0	0
3210	0.692	751.34418	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	18.3	20180104_RG_01R	751.34418:136679 752.34753:90792 753.35089:27631		0	136679	0	0	0
3211	1.874	751.37628	Unknown	[M-H]-	adduct linked to 2993_[M-H2O-H]-; adduct linked to 3683_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	328.02	20180104_RG_01R	751.37628:16401 752.37963:13293 753.38299:0		0	16401	0	0	0
3212	4.789	751.39484	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.44	20180104_RG_01R	751.39484:52369 752.39819:87832 753.40155:54892		0	52369	0	0	0
3213	4.223	751.42938	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.98	20180104_RG_01L	751.42938:12387 752.43273:0 753.43609:7208		12387	0	0	0	0
3214	5.889	751.45123	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	5.76	Blank_01_180104225037	751.45123:17975 752.45458:23221 753.45794:15493		0	7733	5622	17975	17339
3215	6.123	751.53699	Unknown	[M-H]-	adduct linked to 3684_[M+FA-H]-	0.6	False	null	null	null	null		null	null	null	null	null	299.7	20180104_RG_01R	751.53699:44346 752.54034:13944 753.5437:0		0	44346	0	16862	20831
3216	0.523	751.76825	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.28	20180104_RG_01L	751.76825:10777 752.7716:0 753.77496:0		10777	0	556	865	995
3217	2.838	752.14758	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	11.33	Blank_01_180104205754	752.14758:30717 753.15093:23132 754.15429:17417		0	15888	30717	16787	21185
3218	3.576	752.24457	Unknown	[M-H2O-H]-	adduct linked to 3863_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	49.61	20180104_RG_01R	752.24457:118753 753.24792:85645 754.25128:100112		0	118753	0	0	0
3219	3.686	752.24957	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.39	20180104_RG_01R	752.24957:34448 753.25292:19075 754.25628:20016		0	34448	0	0	0
3220	5.72	752.44904	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	402.84	Blank_01_180104225037	752.44904:21924 753.45239:2858 754.45575:0		0	0	1061	21924	5318
3221	6.106	752.48712	Unknown	[M-H]-	similar chromatogram in higher mz_4940	0.6	False	null	null	null	null		null	null	null	null	null	407.99	Blank_01_180104225037	752.48712:38223 753.49047:13787 754.49383:0		0	13239	1298	38223	25584
3222	6.216	752.51147	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	961.24	20180104_RG_01R	752.51147:48062 753.51482:36496 754.51818:31690		1040	48062	0	166	155
3223	6.266	752.5116	Unknown	[M-H]-	adduct linked to 3687_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1703.11	20180104_RG_01R	752.5116:85155 753.51495:52996 754.51831:55937		1040	85155	0	363	840
3224	4.276	752.53461	Unknown	[M+FA-H]-	adduct linked to 2682_[M-H]-	0.2	True	null	null	null	null		null	null	null	null	null	7361.21	20180104_RG_01R	752.53461:368060 753.53796:278279 754.54132:84776	67.51599:1582 69.39078:1423 70.45622:1249 71.01265:1471 73.07393:1526 73.30974:1529 85.51356:2349 88.6543:1439 91.99556:3730 112.98495:1672 128.03491:2687 131.28238:1595 160.06229:2704 178.07248:13283 256.60382:1770 279.23331:2222 431.36896:1724 545.4649:2042 706.52954:19204	0	368060	0	2071	1187
3225	1.046	753.20819	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.58	20180104_RG_01R	753.20819:22708 754.21154:11885 755.2149:6882		713	22708	0	352	1009
3226	1.533	753.29358	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.01	20180104_RG_01R	753.29358:18270 754.29693:0 755.30029:31002		0	18270	0	0	0
3227	1.046	753.29834	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.69	20180104_RG_01R	753.29834:33609 754.30169:20553 755.30505:0		0	33609	0	0	0
3228	0.676	753.32166	Unknown	[M-H]-	similar chromatogram in higher mz_3518	0.2	False	null	null	null	null		null	null	null	null	null	1.96	20180104_RG_01R	753.32166:43688 754.32501:27581 755.32837:6740		0	43688	0	0	0
3229	6.41	753.33374	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.41	20180104_RG_01R	753.33374:21913 754.33709:8314 755.34045:0		0	21913	0	0	0
3230	3.422	753.39392	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.44	20180104_RG_01R	753.39392:122937 754.39727:97303 755.40063:15072		0	122937	0	0	0
3231	2.707	753.39447	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	8.92	20180104_RG_01R	753.39447:318630 754.39782:192665 755.40118:84640	66.36065:1322 70.96442:1414 71.01265:2274 73.12907:1288 85.53232:2024 87.92793:1604 91.99472:3143 128.26611:1477 139.02132:1556 279.23331:2052 283.65836:1618 319.41626:1774 403.27054:9779 417.17114:1583 483.12079:1677 555.7345:1856 753.39703:12686	0	318630	0	0	0
3232	5.282	753.44086	Unknown	[M+FA-H]-	adduct linked to 2696_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	41.28	20180104_RG_01L	753.44086:73554 754.44421:41523 755.44757:37975		73554	0	0	1603	0
3233	4.088	753.46411	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	8.5	20180104_RG_01L	753.46411:61795 754.46746:33662 755.47082:13931		61795	50944	12580	4154	0
3234	4.718	753.46838	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.25	20180104_RG_01R	753.46838:118845 754.47173:56615 755.47509:81439		94874	118845	26107	7317	0
3235	6.967	753.55524	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	17.65	Blank_01_180105013944	753.55524:23502 754.55859:14970 755.56195:0		0	7617	0	2403	23502
3236	0.443	753.8526	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	29.96	Blank_01_180105013944	753.8526:43917 754.85595:54689 755.85931:125462		0	1588	9362	10464	43917
3237	1.993	754.1405	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	27.57	Blank_01_180104205754	754.1405:45422 755.14385:47341 756.14721:0		0	4494	45422	20778	22417
3238	0.557	754.18091	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	30.33	20180104_RG_01L	754.18091:46944 755.18426:26815 756.18762:11414		46944	0	479	0	197
3239	0.5	754.1814	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.57	20180104_RG_01L	754.1814:14817 755.18475:14656 756.18811:0		14817	0	479	0	0
3240	2.866	754.39398	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.51	20180104_RG_01R	754.39398:13910 755.39733:0 756.40069:0		0	13910	0	0	0
3241	5.91	754.50452	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	532.27	Blank_01_180105013944	754.50452:28932 755.50787:0 756.51123:3504		6447	3735	5437	25592	28932
3242	6.194	754.58337	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	12.82	Blank_01_180104225037	754.58337:26054 755.58672:26408 756.59008:12039		0	0	3084	26054	20925
3243	0.411	754.82385	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.56	20180104_RG_01R	754.82385:53742 755.8272:231434 756.83056:287284		2636	53742	4566	10756	13880
3244	6.722	754.9939	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	4.16	20180104_RG_01L	754.9939:98286 755.99725:0 757.00061:35796		98286	70492	63600	73609	88755
3245	6.547	754.99426	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.78	20180104_RG_01R	754.99426:72646 755.99761:11087 757.00097:23987		67295	72646	83049	80222	85721
3246	5.445	755.14734	Unknown	[M+FA-H]-	adduct linked to 2708_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.85	20180104_RG_01R	755.14734:24977 756.15069:0 757.15405:0		0	24977	0	0	0
3247	4.827	755.15997	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	0.87	20180104_RG_01R	755.15997:11754 756.16332:0 757.16668:0		0	11754	346	0	0
3248	4.458	755.21979	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.88	20180104_RG_01L	755.21979:26248 756.22314:21473 757.2265:0		26248	0	1002	0	0
3249	0.935	755.22125	Unknown	[M+FA-H]-	adduct linked to 2516_[M-H2O-H]-; similar chromatogram in higher mz_3389	0.2	False	null	null	null	null		null	null	null	null	null	11.64	20180104_RG_01R	755.22125:157010 756.2246:111040 757.22796:24602		191	157010	0	834	0
3250	1.403	755.22137	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.24	20180104_RG_01L	755.22137:17474 756.22472:10071 757.22808:0		17474	45206	0	727	566
3251	2.362	755.27197	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	17.65	20180104_RG_01R	755.27197:86948 756.27532:49073 757.27868:50781		0	86948	0	0	0
3252	1.734	755.37213	Unknown	[M-H2O-H]-	adduct linked to 3449_[M-H]-	0.2	True	null	null	null	null		null	null	null	null	null	51.27	20180104_RG_01R	755.37213:383316 756.37548:463324 757.37884:206440	64.06172:1552 79.64537:1395 154.47322:1609 192.45406:1978 214.08998:1465 581.99475:1892	0	383316	0	0	0
3253	1.588	755.37463	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	10.81	20180104_RG_01R	755.37463:174040 756.37798:130785 757.38134:441289		10778	174040	0	0	0
3254	2.08	755.37506	Unknown	[M+FA-H]-	adduct linked to 2717_[M-H]-	0.2	True	null	null	null	null		null	null	null	null	null	10	20180104_RG_01R	755.37506:196407 756.37841:185755 757.38177:74126	56.4127:1296 59.01284:10536 60.35208:1438 65.33328:1316 71.01321:8197 73.02892:2100 85.02879:2166 85.53307:1677 89.02365:1838 90.86687:1709 101.02372:7924 105.54697:1666 113.02483:2364 144.80263:1934 192.44899:2638 193.74712:1691 205.07246:2026 239.70656:1597 287.09729:1441 401.25772:6242 563.30487:9236 661.80646:1649 709.3642:12479	0	196407	0	0	0
3255	5.27	755.41693	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	18.64	20180104_RG_01L	755.41693:204423 756.42028:125023 757.42364:134587		204423	0	0	0	0
3256	6.704	755.56946	Unknown	[M-H]-	adduct linked to 3729_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.22	20180104_RG_01L	755.56946:19082 756.57281:10600 757.57617:0		19082	0	0	307	173
3257	6.237	755.58374	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.67	Blank_01_180104225037	755.58374:19858 756.58709:0 757.59045:0		0	0	1251	19858	11449
3258	0.411	755.82843	Unknown	[M+FA-H]-	adduct linked to 2526_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	43.18	20180104_RG_01R	755.82843:75700 756.83178:232211 757.83514:169982		516	75700	3209	490	1331
3259	1.396	756.22491	Unknown	[M-H2O-H]-	adduct linked to 3459_[M-H]-; adduct linked to 3903_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	7.84	20180104_RG_01R	756.22491:24634 757.22826:18833 758.23162:0		6747	24634	0	796	0
3260	6.26	756.35706	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.48	20180104_RG_01L	756.35706:25236 757.36041:46525 758.36377:11445		25236	0	0	0	0
3261	6.378	756.52936	Unknown	[M+FA-H]-	adduct linked to 2731_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	7.63	20180104_RG_01R	756.52936:62017 757.53271:87113 758.53607:25800		7231	62017	2015	1353	1482
3262	5.978	756.56311	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.84	Blank_01_180104225037	756.56311:30124 757.56646:8226 758.56982:0		2716	1554	2832	30124	19717
3263	5.588	756.83496	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.76	Blank_01_180105013944	756.83496:44944 757.83831:7527 758.84167:18762		1618	3978	20432	22192	44944
3264	6.812	756.9931	Unknown	[M-H]-	adduct linked to 3052_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.81	Blank_01_180104205754	756.9931:44711 757.99645:0 758.99981:10332		31355	33190	44711	30767	41509
3265	1.006	757.03143	Unknown	[M+FA-H]-	adduct linked to 2736_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	4.47	20180104_RG_01L	757.03143:43323 758.03478:23770 759.03814:0		43323	38796	0	0	0
3266	1.924	757.08563	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.33	20180104_RG_01L	757.08563:44133 758.08898:22372 759.09234:0		44133	4822	4943	3900	4373
3267	0.91	757.16583	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	91.12	20180104_RG_01L	757.16583:226275 758.16918:134080 759.17254:26949	56.27229:1305 61.71249:1373 83.6367:1404 85.54282:2083 94.92376:1555 104.70549:1394 142.47566:1735 200.02788:1513 242.98557:1624 272.22433:1575 280.45898:1637 298.50085:1914 300.02667:22306 356.26312:1467 368.34335:1541 595.13239:10571 721.08655:2054 757.15662:2838	226275	0	0	1062	928
3268	0.801	757.25409	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1461.56	20180104_RG_01R	757.25409:73078 758.25744:37158 759.2608:8270		1382	73078	0	793	0
3269	1.642	757.29126	Unknown	[M-H]-	similar chromatogram in higher mz_3406	0.2	True	null	null	null	null		null	null	null	null	null	2581.64	20180104_RG_01R	757.29126:129082 758.29461:189492 759.29797:64141	59.01294:6767 61.98749:1551 69.47585:1442 71.01265:6167 73.56046:1395 85.02879:1898 86.41096:1390 87.34503:1336 89.02444:1783 101.02372:6059 113.02369:2238 123.37141:1834 318.86462:1577 389.25104:1921 557.32867:1804 558.64148:1818 628.80688:1793 667.07043:1791 757.3963:14225	0	129082	0	0	0
3270	1.412	757.29181	Unknown	[M-H]-	adduct linked to 3742_[M+FA-H]-	0.2	True	null	null	null	null		null	null	null	null	null	7676.61	20180104_RG_01R	757.29181:383830 758.29516:241017 759.29852:72116	59.01276:44310 71.01298:28727 73.02892:10005 73.19733:1511 73.72231:1892 83.01331:2663 85.02831:13390 87.00838:2389 89.02328:13859 92.00142:4593 99.00852:1950 101.02329:24508 101.80358:1593 103.03952:1663 112.39146:1745 113.02436:16019 115.04042:3385 119.03572:2730 119.46437:1732 128.15181:1609 131.03587:3786 143.03548:5689 145.05089:5757 161.04649:2981 191.4225:1749 192.44139:1808 221.06969:2090 243.19766:6700 328.21512:1689 345.30835:1664 357.1676:16188 389.25833:9320 400.3139:1883 549.23053:2399 551.31219:2558 671.27411:1832 689.29846:3603 711.28607:13016 757.39539:66721	0	383830	0	0	0
3271	2.007	757.32538	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	8108.99	20180104_RG_01R	757.32538:405449 758.32873:519585 759.33209:164891	54.70143:1315 59.01294:1427 70.60231:1471 82.93086:1608 92.00645:1715 287.22656:2669 415.02142:1833 689.33282:3780 711.32306:8758	0	405449	0	0	0
3272	3.136	757.32776	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.66	20180104_RG_01R	757.32776:13749 758.33111:0 759.33447:0		0	13749	0	0	0
3273	1.429	757.3847	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	527.21	20180104_RG_01R	757.3847:2798412 758.38805:2853145 759.39141:994681	57.72661:1371 59.01294:7400 64.43789:1562 71.01265:3710 85.02879:1667 96.19978:1485 101.02372:2660 113.02369:1558 115.03925:3529 123.79758:1875 147.8687:1661 179.03445:1611 192.43126:1682 226.49954:1504 227.56064:1826 241.02512:1508 242.65533:1461 260.87921:1530 319.633:1897 404.23251:1574 431.26697:3331 435.51199:1673 543.88525:1869 593.33228:1698 614.58856:1976 757.40106:14154	2955	2798412	0	0	0
3274	1.621	757.3855	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	543.79	20180104_RG_01R	757.3855:2913868 758.38885:3481664 759.39221:1111505	55.01788:3324 58.0047:1668 59.01292:110243 71.01263:88017 72.99222:3453 73.02825:35019 83.01333:20085 85.02873:41160 85.52406:2400 87.00838:9687 87.0438:3097 89.02364:36091 92.00141:5206 95.01329:6013 99.00197:1921 99.00835:13260 101.02354:82513 103.03951:2915 113.02356:62355 115.03908:12389 117.5444:1876 119.03448:10716 125.02439:6739 131.03407:12130 143.03491:18007 145.05087:2454 159.02997:6390 161.04617:24423 163.28154:1969 192.43124:1681 205.07243:3972 221.06967:1908 384.42987:1965 387.18304:2115 389.25821:14852 413.25455:1800 431.26694:6813 510.21866:2042 511.06152:1893 551.31213:9331 697.36853:3469 711.28699:2894 739.37286:7446 757.39349:204158	6514	2913868	0	0	0
3275	4.829	757.39484	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	18.72	20180104_RG_01L	757.39484:55930 758.39819:31602 759.40155:49446		55930	0	0	1448	0
3276	6.317	757.65546	Unknown	[M-H2O-H]-	adduct linked to 3922_[M+FA-H]-	0.8	False	null	null	null	null		null	null	null	null	null	9.82	Blank_01_180104205754	757.65546:27003 758.65881:16660 759.66217:0		10343	13417	27003	16503	19161
3277	4.185	758.04938	Unknown	[M-H]-		0.8	False	null	null	null	null		null	null	null	null	null	5.91	Blank_01_180105013944	758.04938:16334 759.05273:22045 760.05609:4924		11596	11162	13359	7726	16334
3278	2.771	758.16589	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	19.95	Blank_01_180105013944	758.16589:41208 759.16924:115986 760.1726:19518		0	6088	19890	33558	41208
3279	2.877	758.16638	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	34.41	Blank_01_180104225037	758.16638:56733 759.16973:103384 760.17309:0		1391	8406	49236	56733	55740
3280	3.686	758.2644	Unknown	[M+FA-H]-	adduct linked to 2545_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.1	20180104_RG_01R	758.2644:42059 759.26775:58083 760.27111:55202		0	42059	0	0	0
3281	3.576	758.26508	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.4	20180104_RG_01R	758.26508:137252 759.26843:111347 760.27179:104526		0	137252	0	0	0
3282	6.836	758.54242	Unknown	[M+FA-H]-	adduct linked to 2765_[M-H]-	0.4	True	null	null	null	null		null	null	null	null	null	207.89	20180104_RG_01R	758.54242:2387623 759.54577:1215870 760.54913:560484	59.01294:8954 62.94424:1267 71.01265:3699 89.02365:6348 101.02372:1785 119.03449:3173 129.10945:1497 135.97041:1867 186.36227:1694 421.64423:1685 465.13449:1623 532.46906:2772 642.88989:1955 712.53033:9986	81242	2387623	0	3592	1938
3283	0.505	758.54504	Unknown	[M+FA-H]-	adduct linked to 2763_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	10.12	Blank_01_180105013944	758.54504:95935 759.54839:51113 760.55175:20379		0	0	0	33287	95935
3284	4.489	758.5459	Unknown	[M+FA-H]-	adduct linked to 2764_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	10.99	Blank_01_180105013944	758.5459:106021 759.54925:121574 760.55261:70001		0	0	0	20564	106021
3285	0.442	758.82617	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	17.69	20180104_RG_01R	758.82617:45984 759.82952:0 760.83288:95517		1119	45984	8135	2196	5778
3286	6.429	759.00842	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.32	20180104_RG_01R	759.00842:38889 760.01177:20278 761.01513:31830		39628	38889	38110	39601	32690
3287	1.993	759.10181	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.13	Blank_01_180104205754	759.10181:47724 760.10516:25765 761.10852:90169		0	11105	47724	13891	17005
3288	2.777	759.17273	Unknown	[M+FA-H]-	adduct linked to 2555_[M-H2O-H]-	0.8	False	null	null	null	null		null	null	null	null	null	24.75	Blank_01_180104225037	759.17273:68610 760.17608:0 761.17944:0		0	27596	38600	68610	56890
